"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"116","12017","Citrus County, Florida",68269,2333,63955,2256,53000,2598,3857,923,60098,2353,10955,2039,4314,1324
"117","12019","Clay County, Florida",80459,2040,78774,2167,68772,2834,2319,839,76455,2342,10002,2083,1685,828
"118","12021","Collier County, Florida",163943,4893,159096,4754,136092,5637,4803,1268,154293,4686,23004,3052,4847,1396
"119","12023","Columbia County, Florida",27545,1092,26168,1381,21295,1595,1205,585,24963,1399,4873,1148,1377,702
"120","12031","Duval County, Florida",406301,5163,389571,5959,333305,6588,9573,1918,379998,6055,56266,4379,16730,2600
"121","12033","Escambia County, Florida",126980,2622,120704,2762,98161,3387,3684,914,117020,2871,22543,2503,6276,1232
"122","12035","Flagler County, Florida",48187,1799,46150,2023,38638,2125,1866,597,44284,1971,7512,1417,2037,856
"123","12053","Hernando County, Florida",81497,1957,78072,2201,67202,2498,3822,942,74250,2277,10870,1860,3425,950
"124","12055","Highlands County, Florida",46166,2249,42729,2336,33459,2432,2577,781,40152,2427,9270,1791,3437,1295
"125","12057","Hillsborough County, Florida",578259,4604,561365,4786,491503,5861,12197,1613,549168,4848,69862,4965,16894,1968
"126","12061","Indian River County, Florida",69974,2297,66231,2390,56159,2394,2694,699,63537,2344,10072,1891,3743,1352
"127","12069","Lake County, Florida",156435,3639,148805,4075,116185,5609,4928,1167,143877,4049,32620,4198,7630,2288
"128","12071","Lee County, Florida",320466,5688,310501,5253,265347,6436,10593,1551,299908,5240,45154,3625,9965,1888
"129","12073","Leon County, Florida",121423,2483,118425,2754,104514,3103,2086,633,116339,2897,13911,2290,2998,967
"130","12081","Manatee County, Florida",163520,4229,157841,4376,138650,3899,5526,1293,152315,4395,19191,2835,5679,1219
"131","12083","Marion County, Florida",157348,3156,148972,3831,125282,4593,6728,1674,142244,3961,23690,3326,8376,1925
"132","12085","Martin County, Florida",69719,2201,67736,2227,57630,2583,3178,989,64558,2404,10106,1843,1983,841
"133","12086","Miami-Dade County, Florida",963477,6902,929063,6798,771068,9368,16712,2231,912351,7402,157995,7370,34414,3479
"134","12087","Monroe County, Florida",36078,1787,34552,1784,30239,1711,1262,549,33290,1938,4313,1084,1526,680
"135","12089","Nassau County, Florida",40276,1134,39628,1292,34482,1765,1084,582,38544,1285,5146,1379,648,425
"136","12091","Okaloosa County, Florida",84497,2515,81020,2800,69690,2995,2114,668,78906,2869,11330,2198,3477,1024
"137","12095","Orange County, Florida",512496,6481,499945,7226,424158,8469,8391,1675,491554,7355,75787,5736,12551,2363
"138","12097","Osceola County, Florida",133330,4151,129395,4416,108995,4714,1868,735,127527,4400,20400,3431,3935,1541
"139","12099","Palm Beach County, Florida",595447,7364,572394,7401,492513,7615,17824,2295,554570,7615,79881,5396,23053,2599
"140","12101","Pasco County, Florida",230060,3739,219077,4142,189291,4646,9024,1383,210053,4212,29786,2820,10983,2065
"141","12103","Pinellas County, Florida",419798,5705,401883,5877,345020,6442,16186,1806,385697,6121,56863,4389,17915,2363
"142","12105","Polk County, Florida",276469,4275,264810,4713,207840,5455,7830,1340,256980,4821,56970,4782,11659,2129
"143","12107","Putnam County, Florida",29765,1450,26786,1544,19707,1573,726,351,26060,1545,7079,1395,2979,824
"144","12109","St. Johns County, Florida",109147,2862,104152,3230,96017,3627,2274,921,101878,3297,8135,1715,4995,1538
"145","12111","St. Lucie County, Florida",131235,4867,126709,4970,107776,5840,4507,1305,122202,4865,18933,3192,4526,1215
"146","12113","Santa Rosa County, Florida",71722,2129,69584,2424,62214,2811,2453,797,67131,2346,7370,1668,2138,875
"147","12115","Sarasota County, Florida",204018,4799,194655,5271,169401,5545,7362,1307,187293,5041,25254,3225,9363,1725
"148","12117","Seminole County, Florida",188239,1849,184610,1943,157804,3467,4016,1081,180594,2199,26806,3357,3629,948
"149","12119","Sumter County, Florida",68792,2697,66552,2753,56304,2772,3734,1544,62818,3153,10248,2192,2240,907
"150","12127","Volusia County, Florida",243344,3599,232316,3898,194545,4902,9232,1597,223084,3929,37771,3628,11028,2024
"151","12131","Walton County, Florida",33941,3149,33118,3205,28177,2907,1436,1003,31682,3032,4941,1433,823,607
"152","13013","Barrow County, Georgia",30194,457,29343,638,25228,1195,837,347,28506,693,4115,1090,851,416
"153","13015","Bartow County, Georgia",38903,1482,36393,1695,31017,1837,404,423,35989,1708,5376,1315,2510,1019
"154","13021","Bibb County, Georgia",57677,2209,53489,2378,41751,2577,1487,608,52002,2409,11738,2029,4188,1122
"155","13031","Bulloch County, Georgia",29318,2563,27570,2797,23964,2725,901,511,26669,2810,3606,1009,1748,810
"156","13045","Carroll County, Georgia",43859,1293,42367,1345,33709,2154,1038,514,41329,1469,8658,1728,1492,468
"157","13047","Catoosa County, Georgia",26864,825,25242,1066,21523,1516,378,315,24864,1087,3719,1274,1622,793
"158","13051","Chatham County, Georgia",121028,2329,115315,2807,100018,3198,2588,1241,112727,2968,15297,2615,5713,1630
"159","13057","Cherokee County, Georgia",100023,1578,97447,1985,89218,2338,1789,850,95658,2239,8229,1682,2576,1117
"160","13059","Clarke County, Georgia",55332,1776,52748,2111,47373,2453,877,481,51871,2245,5375,1309,2584,1087
"161","13063","Clayton County, Georgia",106249,2018,104368,2314,86575,3252,3276,1283,101092,2409,17793,2889,1881,817
"162","13067","Cobb County, Georgia",292841,2799,287803,2936,263607,4511,4486,1023,283317,2979,24196,3543,5038,1169
"163","13073","Columbia County, Georgia",51178,2129,49302,2256,44047,2255,790,492,48512,2228,5255,1287,1876,1005
"164","13077","Coweta County, Georgia",55729,1197,54383,1115,50327,1624,1527,639,52856,1329,4056,1261,1346,492
"165","13089","DeKalb County, Georgia",273981,4722,264769,4960,238497,4841,8040,1737,256729,4970,26272,3075,9212,2153
