"","GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"9583","19163012902","Census Tract 129.02, Scott County, Iowa","Spanish",48,52,5526,533
"9584","19163012902","Census Tract 129.02, Scott County, Iowa","French, Haitian, or Cajun",117,158,5526,533
"9585","19163012902","Census Tract 129.02, Scott County, Iowa","German or other West Germanic languages",0,15,5526,533
"9586","19163012902","Census Tract 129.02, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,15,5526,533
"9587","19163012902","Census Tract 129.02, Scott County, Iowa","Other Indo-European languages",0,15,5526,533
"9588","19163012902","Census Tract 129.02, Scott County, Iowa","Korean",0,15,5526,533
"9589","19163012902","Census Tract 129.02, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",24,37,5526,533
"9590","19163012902","Census Tract 129.02, Scott County, Iowa","Vietnamese",0,15,5526,533
"9591","19163012902","Census Tract 129.02, Scott County, Iowa","Tagalog (incl. Filipino)",0,15,5526,533
"9592","19163012902","Census Tract 129.02, Scott County, Iowa","Other Asian and Pacific Island languages",202,216,5526,533
"9593","19163012902","Census Tract 129.02, Scott County, Iowa","Arabic",0,15,5526,533
"9594","19163012902","Census Tract 129.02, Scott County, Iowa","Other and unspecified languages",9,15,5526,533
"9595","19163013000","Census Tract 130, Scott County, Iowa","Speak only English",4380,512,4504,470
"9596","19163013000","Census Tract 130, Scott County, Iowa","Spanish",124,108,4504,470
"9597","19163013000","Census Tract 130, Scott County, Iowa","French, Haitian, or Cajun",0,10,4504,470
"9598","19163013000","Census Tract 130, Scott County, Iowa","German or other West Germanic languages",0,10,4504,470
"9599","19163013000","Census Tract 130, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,4504,470
"9600","19163013000","Census Tract 130, Scott County, Iowa","Other Indo-European languages",0,10,4504,470
"9601","19163013000","Census Tract 130, Scott County, Iowa","Korean",0,10,4504,470
"9602","19163013000","Census Tract 130, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,4504,470
"9603","19163013000","Census Tract 130, Scott County, Iowa","Vietnamese",0,10,4504,470
"9604","19163013000","Census Tract 130, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,4504,470
