"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"208","27053","Hennepin County, Minnesota",507728,3356,477306,4003,1976,612,444925,4643,30405,3002,30422,2927
"209","27109","Olmsted County, Minnesota",61873,1343,58225,1487,159,145,54187,1763,3879,807,3648,776
"210","27123","Ramsey County, Minnesota",211123,2185,196174,2252,489,284,183459,2899,12226,1920,14949,1693
"211","27131","Rice County, Minnesota",23130,844,21027,964,71,57,19784,1059,1172,388,2103,531
"212","27137","St. Louis County, Minnesota",85213,1610,75977,1958,670,292,68501,1975,6806,1080,9236,1202
"213","27139","Scott County, Minnesota",50018,622,47034,768,96,83,44892,1062,2046,810,2984,672
"214","27141","Sherburne County, Minnesota",31869,965,30072,1034,212,194,28375,1060,1485,718,1797,582
"215","27145","Stearns County, Minnesota",59708,1098,55227,1432,352,126,50579,1596,4296,872,4481,797
"216","27163","Washington County, Minnesota",92337,1678,89317,1890,516,305,86639,1968,2162,555,3020,897
"217","27171","Wright County, Minnesota",47868,947,44447,1205,229,144,41489,1246,2729,965,3421,821
"218","28033","DeSoto County, Mississippi",61764,1429,57832,1566,90,107,54755,1794,2987,1013,3932,1016
"219","28035","Forrest County, Mississippi",28066,1386,25239,1578,131,179,21576,1974,3532,1039,2827,722
"220","28047","Harrison County, Mississippi",78449,2380,69130,2848,96,121,64328,3025,4706,1486,9319,1730
"221","28049","Hinds County, Mississippi",89570,2221,77910,2649,78,129,71419,2769,6413,1413,11660,1621
"222","28059","Jackson County, Mississippi",52318,2088,47433,2335,215,227,42171,2541,5047,1252,4885,1200
"223","28067","Jones County, Mississippi",23950,1598,18357,1746,289,381,12674,1865,5394,1268,5593,1218
"224","28075","Lauderdale County, Mississippi",30019,1417,25222,1728,117,141,22139,1736,2966,1119,4797,1101
"225","28081","Lee County, Mississippi",30844,1320,26262,1539,37,64,22219,1566,4006,1065,4582,1092
"226","28089","Madison County, Mississippi",40539,1113,37628,1312,0,217,35612,1349,2016,773,2911,794
"227","28121","Rankin County, Mississippi",54699,2011,51380,2093,0,217,47552,2274,3828,1403,3319,795
"228","29019","Boone County, Missouri",70355,1728,65265,2044,232,240,56866,2448,8167,1797,5090,1288
"229","29021","Buchanan County, Missouri",33716,1588,26569,1752,27,45,24239,1869,2303,778,7147,1217
"230","29031","Cape Girardeau County, Missouri",29245,1264,26375,1296,142,135,24470,1339,1763,709,2870,859
"231","29037","Cass County, Missouri",40545,644,37661,1047,159,130,33678,1264,3824,909,2884,784
"232","29043","Christian County, Missouri",32009,902,29415,1143,65,66,26461,1310,2889,1109,2594,853
"233","29047","Clay County, Missouri",92020,1848,84904,2302,272,265,80742,2505,3890,1005,7116,1408
"234","29051","Cole County, Missouri",29726,1009,26600,1079,120,128,19038,1453,7442,1341,3126,727
"235","29071","Franklin County, Missouri",40256,1356,36219,1406,128,149,32970,1426,3121,994,4037,766
"236","29077","Greene County, Missouri",120498,2271,110911,2202,216,214,94404,2888,16291,2125,9587,1427
"237","29095","Jackson County, Missouri",285887,3405,259233,3794,355,219,232980,4194,25898,2574,26654,2143
"238","29097","Jasper County, Missouri",46784,1414,41745,1627,87,126,36785,1904,4873,1349,5039,968
"239","29099","Jefferson County, Missouri",84301,1469,78898,1652,258,210,74578,1817,4062,1075,5403,1051
"240","29165","Platte County, Missouri",39407,1025,38083,1184,228,214,36323,1263,1532,538,1324,495
"241","29183","St. Charles County, Missouri",145332,2211,139721,2307,417,243,131092,2588,8212,1553,5611,993
"242","29187","St. Francois County, Missouri",22504,1609,19506,1686,0,190,17376,1629,2130,888,2998,846
"243","29189","St. Louis County, Missouri",406823,3622,374102,4341,1488,620,353761,4548,18853,2225,32721,3026
"244","29510","St. Louis city, Missouri",138513,2993,121322,3440,140,117,107509,3461,13673,2315,17191,2091
"245","30013","Cascade County, Montana",33346,1326,27499,1440,33,42,25864,1442,1602,493,5847,997
"246","30029","Flathead County, Montana",37236,1723,32995,1750,430,387,29897,1706,2668,782,4241,977
"247","30031","Gallatin County, Montana",44315,963,42918,1105,78,99,40540,1168,2300,733,1397,491
"248","30049","Lewis and Clark County, Montana",28250,976,25249,1268,152,177,22658,1271,2439,659,3001,860
"249","30063","Missoula County, Montana",48806,1498,44513,1896,429,307,41876,2080,2208,792,4293,1132
