"","GEOID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M"
"218","17179","Tazewell County, Illinois",55208,1183,48238,1629,105,179,40275,1677,1991,579,647,399,1573,799,5397,1087
"219","17183","Vermilion County, Illinois",29007,1260,24362,1286,268,256,15512,1345,2006,530,157,106,762,400,3883,629
"220","17197","Will County, Illinois",242530,1783,226411,2605,234,158,197134,2940,18611,2216,1788,598,5232,1300,10887,1662
"221","17199","Williamson County, Illinois",27361,1282,23421,1442,186,220,16389,1524,2427,711,396,301,688,423,3252,905
"222","17201","Winnebago County, Illinois",115282,1861,102073,2649,294,219,83417,2788,8422,1439,889,478,2668,875,10541,1752
"223","18003","Allen County, Indiana",154866,1665,143762,1779,462,503,121803,2534,7740,1410,1316,641,2491,926,8613,1362
"224","18005","Bartholomew County, Indiana",32518,999,29992,1185,0,208,24081,1662,2533,979,224,200,937,475,1589,457
"225","18011","Boone County, Indiana",28048,644,27038,687,59,102,23635,986,3192,845,270,221,280,227,730,388
"226","18019","Clark County, Indiana",50153,1093,45246,1420,71,123,37267,1913,3039,909,274,241,944,596,3963,1167
"227","18035","Delaware County, Indiana",45977,1583,40195,1828,59,105,31136,1989,3266,762,690,468,1358,713,4424,1127
"228","18039","Elkhart County, Indiana",69015,2038,60394,2184,112,161,48695,2353,4107,980,595,330,1404,621,7217,1283
"229","18043","Floyd County, Indiana",30846,1223,27098,1448,0,208,22584,1534,1941,703,136,171,531,381,3217,879
"230","18053","Grant County, Indiana",26342,1115,23337,1211,147,152,18209,1411,1940,615,84,87,397,292,2608,707
"231","18057","Hamilton County, Indiana",132255,2110,126613,2612,177,182,114924,3088,4740,1460,787,635,2186,1018,3456,1458
"232","18059","Hancock County, Indiana",32661,428,30759,830,91,146,26337,1166,2528,1104,171,208,893,588,1009,468
"233","18063","Hendricks County, Indiana",65751,1304,62032,1637,36,64,56504,2088,4811,1512,1343,1030,1012,647,2707,936
"234","18067","Howard County, Indiana",36530,1135,33150,1367,235,225,26569,1776,2778,908,396,225,617,387,2763,792
"235","18081","Johnson County, Indiana",62116,1061,56918,1511,108,174,50395,2007,3826,1094,234,279,759,577,4439,1225
"236","18085","Kosciusko County, Indiana",31523,1326,28504,1404,11,19,21241,1663,2574,840,190,156,658,466,2361,636
"237","18089","Lake County, Indiana",192256,2438,172442,3220,278,306,148348,3401,12858,1757,1693,876,3681,925,16133,2458
"238","18091","LaPorte County, Indiana",43445,1247,39990,1568,123,146,32214,1867,3828,923,254,202,207,200,3248,1000
"239","18095","Madison County, Indiana",53910,1249,47435,1777,324,374,37228,1907,4859,984,993,413,1077,549,5398,1097
"240","18097","Marion County, Indiana",394717,3891,361839,5064,271,201,290271,6941,30109,4223,2504,972,8860,2228,24018,2899
"241","18105","Monroe County, Indiana",56714,2202,51492,2252,90,153,44648,2155,4011,1065,1439,839,2664,977,2558,792
"242","18109","Morgan County, Indiana",26821,1170,22703,1283,14,24,19120,1391,3061,799,92,93,267,211,3851,1086
"243","18127","Porter County, Indiana",68266,1116,63271,1487,66,110,55843,1960,4319,832,139,161,1158,631,3837,1001
"244","18141","St. Joseph County, Indiana",107076,1965,96376,2310,217,190,80551,2649,6870,1080,1057,488,2181,816,8519,1333
"245","18157","Tippecanoe County, Indiana",73525,1680,66486,1919,0,208,47780,2753,3006,935,372,370,3435,1128,3604,1115
"246","18163","Vanderburgh County, Indiana",79215,1478,69792,2070,0,208,58890,2417,3435,848,690,526,2079,781,7344,1307
"247","18167","Vigo County, Indiana",42140,1331,36370,1547,105,128,29867,1906,3142,758,352,267,1265,647,4505,1045
"248","18177","Wayne County, Indiana",26452,1416,23418,1379,26,42,17218,1610,2691,862,264,285,772,486,2262,570
"249","19013","Black Hawk County, Iowa",53951,1327,48212,1763,145,179,39189,1987,3146,957,390,261,1384,503,4355,1090
"250","19049","Dallas County, Iowa",41681,502,38200,1147,73,92,32271,1750,3847,1106,555,420,1583,793,1898,727
"251","19061","Dubuque County, Iowa",40482,984,37355,1023,83,93,30066,1314,4375,750,447,322,508,258,2619,614
"252","19103","Johnson County, Iowa",61301,1982,54165,2106,10,17,47661,1990,2756,998,228,191,4205,1180,2931,1052
"253","19113","Linn County, Iowa",94884,1538,87812,1974,77,89,76264,2508,4726,1062,408,183,2660,841,4412,945
"254","19153","Polk County, Iowa",203390,2491,186242,3073,256,259,158348,4231,14158,2346,1513,674,5204,1186,11944,1705
"255","19155","Pottawattamie County, Iowa",37930,822,32820,1276,21,25,27588,1418,2381,488,179,135,693,389,4417,942
"256","19163","Scott County, Iowa",72128,1439,64447,2006,121,127,54848,2489,3923,995,588,371,1565,634,6116,1352
"257","19169","Story County, Iowa",38868,1058,29921,1676,293,278,26579,1770,1660,566,527,525,7054,1667,1893,621
"258","19193","Woodbury County, Iowa",41327,955,36959,1178,99,159,31166,1363,7027,1306,207,216,683,296,3685,873
"259","20015","Butler County, Kansas",24545,1212,21734,1268,92,104,17347,1229,3476,886,446,296,539,428,2272,659
"260","20045","Douglas County, Kansas",49759,1419,45402,1579,215,348,39567,1974,2755,921,626,525,1900,820,2457,833
"261","20091","Johnson County, Kansas",245646,2000,235677,2712,51,84,212031,3774,10430,1577,1550,728,4137,981,5832,1250
"262","20103","Leavenworth County, Kansas",29963,889,28096,1023,59,97,20076,1478,3517,821,745,413,314,280,1553,618
"263","20161","Riley County, Kansas",27866,1133,25632,1264,110,201,22334,1566,1605,667,126,140,1215,809,1019,579
"264","20173","Sedgwick County, Kansas",203656,2831,185651,3188,142,122,153998,3436,11619,1695,2530,1008,3377,807,14628,2008
"265","20177","Shawnee County, Kansas",74908,1521,66063,2110,217,202,53142,2439,4315,806,366,289,1322,528,7523,1330
"266","20209","Wyandotte County, Kansas",62538,1197,54896,1784,99,125,44771,2120,3692,1016,509,296,2137,733,5505,1032
"267","21015","Boone County, Kentucky",50728,873,45742,1501,0,208,41892,1648,2618,802,98,131,1070,720,3916,1278
"268","21029","Bullitt County, Kentucky",30979,1033,28224,1268,0,208,23805,1461,1561,522,350,182,436,328,2319,782
"269","21037","Campbell County, Kentucky",39048,934,35524,1099,0,208,31265,1387,1239,438,154,149,552,323,2972,727
"270","21047","Christian County, Kentucky",25317,1182,18627,1394,53,94,11307,1371,2251,656,174,199,2721,1020,3969,855
